epoch,train_loss,train_acc,val_loss,val_acc
1,0.012135639217525527,0.9955464200068517,0.013304887508746078,0.9972565157750343
2,0.00620437342962016,0.9982870846180198,0.01185912888057802,0.9986282578875172
3,0.004657016251509471,0.999314833847208,0.011995649653650912,0.9972565157750343
4,0.02962443898719904,0.9924631723192874,0.017487067955198592,0.9958847736625515
5,0.011757747855952502,0.9958890030832477,0.014760318404320367,0.9945130315500685
6,0.00416268956676874,0.9986296676944159,0.02299268692720679,0.9931412894375857
7,0.006617577713109398,0.9979445015416238,0.015067534226311284,0.9958847736625515
8,0.004961471817730454,0.9972593353888318,0.016150270778060534,0.9958847736625515
9,0.003030145857034776,0.998972250770812,0.0155347692435462,0.9972565157750343
10,0.006845178361160539,0.9982870846180198,0.014478888619430516,0.9972565157750343
11,0.002140277240722429,0.999657416923604,0.012547103792639125,0.9986282578875172
12,0.0017283235716628075,0.999657416923604,0.018978197225960773,0.9958847736625515
13,0.017490573647561566,0.9941760877012675,0.038479110676365995,0.9917695473251029
14,0.010861255932116256,0.9972593353888318,0.012839678011257176,0.9972565157750343
15,0.0037081521538856114,0.9986296676944159,0.008723145887967175,0.9986282578875172
16,0.006284814740792931,0.9986296676944159,0.0225244074059741,0.9958847736625515
17,0.02464653406746086,0.9907502569373073,0.020459387138414366,0.9931412894375857
18,0.007403949008995347,0.9986296676944159,0.02191844876630127,0.9972565157750343
19,0.006312503346459182,0.9972593353888318,0.016274445436384517,0.9945130315500685
20,0.004565901020221535,0.9976019184652278,0.020071611303417076,0.9945130315500685
21,0.0035623991378421014,0.999314833847208,0.015540975902048957,0.9958847736625515
22,0.0003300920507125386,1.0,0.014391543546507981,0.9986282578875172
23,0.004551283879719742,0.9976019184652278,0.007357460456915948,0.9986282578875172
24,0.0012652559396876734,1.0,0.01358776341973976,0.9972565157750343
25,0.0011384703878100295,0.999657416923604,0.0076339446566233435,0.9986282578875172
26,0.002609137609521925,0.999314833847208,0.009971114100138529,0.9972565157750343
27,0.017391694929318264,0.9952038369304557,0.014154460209332226,0.9972565157750343
28,0.008113224793311637,0.9972593353888318,0.021360168063681604,0.9945130315500685
29,0.0021680498868105365,0.999314833847208,0.00829463073465384,0.9986282578875172
30,0.0013782142542923012,0.999657416923604,0.013218349416508127,0.9986282578875172
